[23:33:08] [Render thread/INFO] [JMLogger] JourneyMap log initialized.
[23:33:08] [Render thread/INFO] [JourneymapClient] initialize ENTER
[23:33:08] [Render thread/INFO] [ClientAPI] [ClientAPI] built with JourneyMap API 1.9-SNAPSHOT
[23:33:08] [Render thread/INFO] [PluginHelper] Initializing plugins with Client API: journeymap.client.api.impl.ClientAPI
[23:33:08] [Render thread/INFO] [?] Version: JourneyMap 1.20.1-5.10.3, built with forge 1.20.1-47.2.30
forge: 47.4.0
Environment: os.name, os.arch, java.version, user.country, user.language=null, game language=ko_kr, locale=ko_kr
[23:58:32] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[00:01:50] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[00:01:50] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[00:01:50] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[00:01:50] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[00:02:00] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/orange.png
[00:05:06] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[00:05:06] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[00:05:06] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[00:05:06] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[00:10:16] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/orange.png
[00:11:48] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[00:11:48] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[00:11:48] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[00:11:48] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[00:15:22] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[00:15:25] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[00:15:25] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[00:15:25] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[00:18:50] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[00:18:50] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[00:18:50] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[00:18:50] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[00:22:14] [Render thread/INFO] [StatTimer] TileDrawStep.updateRegionTexture hit max count, 1000000
[00:22:15] [Render thread/INFO] [StatTimer] TileDrawStep.draw(low) hit max count, 1000000
[00:22:17] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[00:22:17] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[00:22:17] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[00:22:17] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[00:25:40] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[00:25:40] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[00:25:40] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[00:25:40] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[00:29:38] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[00:29:38] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[00:29:38] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[00:29:41] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[00:33:01] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[00:33:01] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[00:33:01] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[00:33:01] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[00:36:45] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[00:36:45] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[00:36:45] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[00:36:45] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[00:40:01] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[00:40:01] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[00:40:01] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[00:40:05] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[00:43:10] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[00:43:10] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[00:43:10] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[00:43:10] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[00:46:42] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[00:46:42] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[00:46:42] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[00:46:42] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[00:47:12] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/orange.png
[00:50:33] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[00:50:33] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[00:50:33] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[00:50:33] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[00:54:28] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[00:54:28] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[00:54:31] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[00:54:31] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[00:57:52] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[00:57:52] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[00:57:52] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[00:57:52] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[01:01:44] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[01:01:44] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[01:01:44] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[01:01:44] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[01:02:46] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/orange.png
[01:04:59] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[01:04:59] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[01:04:59] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[01:04:59] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/orange.png
[01:05:05] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[01:08:41] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[01:08:41] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[01:08:41] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[01:08:41] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[01:11:43] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/orange.png
[01:12:04] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[01:12:04] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[01:12:04] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[01:12:04] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/orange.png
[01:12:10] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[01:15:41] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[01:15:41] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[01:15:41] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[01:15:41] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[01:16:11] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/orange.png
[01:19:23] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[01:19:23] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[01:19:23] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[01:19:23] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[01:22:37] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[01:22:37] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[01:22:37] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[01:22:37] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[01:26:01] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[01:26:01] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[01:26:01] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[01:26:01] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[01:27:44] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/orange.png
[01:29:35] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[01:29:35] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[01:29:35] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[01:29:35] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[01:30:38] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/orange.png
[01:32:52] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[01:32:52] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[01:32:52] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[01:32:55] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[01:32:59] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/orange.png
[01:35:54] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[01:35:54] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[01:35:54] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[01:35:54] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[01:35:54] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/orange.png
[01:40:34] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[01:40:34] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[01:40:34] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[01:40:34] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[01:44:10] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[01:44:10] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[01:44:10] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[01:44:10] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[01:47:28] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[01:47:28] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[01:47:31] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[01:47:31] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[01:51:59] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[01:51:59] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[01:52:00] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[01:52:00] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[01:55:40] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[01:55:40] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[01:55:40] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[01:55:40] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[01:59:55] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[01:59:55] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[02:00:00] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[02:00:00] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[02:04:23] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[02:04:23] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
